City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ushuaia,-54.8,-68.3,1.81,75,0,2.57,AR,1691972456
84,cambria,35.5641,-121.0808,34.02,74,36,3.45,US,1691972757
85,hithadhoo,-0.6,73.0833,27.52,74,47,4.33,MV,1691972757
86,anadyr,64.75,177.4833,19.28,45,0,7.0,RU,1691972758
87,westport,41.1415,-73.3579,28.9,67,0,4.12,US,1691972670
88,tarauaca,-8.1614,-70.7656,22.15,97,100,2.12,BR,1691972758
89,dire,12.2833,-10.9667,23.13,98,99,0.75,ML,1691972759
90,avarua,-21.2078,-159.775,25.03,65,75,4.12,CK,1691972759
91,mont-dore,-22.2833,166.5833,23.99,99,72,2.21,NC,1691972759
92,tughyl,47.7252,84.2063,13.17,76,47,4.69,KZ,1691972760
93,musoma,-1.5,33.8,22.24,62,78,4.18,TZ,1691972760
94,roxas,11.5853,122.7511,27.3,77,100,2.01,PH,1691972760
95,kruisfontein,-34.0033,24.7314,9.94,86,11,2.68,ZA,1691972760
96,magenta,45.4646,8.8826,25.51,77,83,1.34,IT,1691972761
97,lucas,41.6501,-83.6666,26.08,68,0,4.12,US,1691972762
98,maracaju,-21.6144,-55.1683,20.26,57,100,3.2,BR,1691972762
99,suwayr,30.1171,40.3893,30.52,11,2,4.15,SA,1691972762
100,aasiaat,68.7098,-52.8699,3.42,97,100,1.79,GL,1691972763
101,kodiak,57.79,-152.4072,16.73,77,100,4.63,US,1691972764
102,mbanza-ngungu,-5.25,14.8667,22.93,58,3,3.82,CD,1691972764
103,kingston,17.997,-76.7936,28.53,84,20,4.12,JM,1691972764
104,chanute,37.6792,-95.4572,31.82,79,75,2.57,US,1691972764
105,barah,13.7,30.3667,26.4,59,100,4.82,SD,1691972765
106,dwarka,22.2394,68.9678,26.41,84,100,9.54,IN,1691972765
107,seesen,51.9,10.1833,18.7,90,4,1.53,DE,1691972766
108,college,64.8569,-147.8028,22.82,44,100,3.09,US,1691972766
109,afaahiti,-17.75,-149.2833,26.93,74,90,3.86,PF,1691972766
110,morrelgonj,22.4537,89.8587,25.73,91,100,0.73,BD,1691972766
111,qamdo,31.1667,97.2333,8.48,79,100,1.79,CN,1691972767
112,brady,31.1352,-99.3351,38.97,22,0,5.66,US,1691972767
113,saryozek,44.3583,77.9753,10.89,61,16,1.42,KZ,1691972768
114,hilo,19.7297,-155.09,27.92,75,40,4.12,US,1691972768
115,kailua-kona,19.6406,-155.9956,30.15,72,40,5.66,US,1691972768
116,margaret river,-33.95,115.0667,14.5,78,58,5.81,AU,1691972768
117,moranbah,-22.0016,148.0466,21.2,35,6,2.23,AU,1691972769
118,minas de marcona,-15.2119,-75.1103,14.09,80,14,2.85,PE,1691972769
119,puerto baquerizo moreno,-0.9,-89.6,23.43,75,65,5.27,EC,1691972769
120,kayangel,8.0823,134.7173,27.6,81,100,6.81,PW,1691972770
121,mount isa,-20.7333,139.5,24.87,33,2,0.51,AU,1691972770
122,acapulco de juarez,16.8634,-99.8901,31.9,70,75,4.63,MX,1691972485
123,nejo,9.5,35.5,13.92,94,100,0.76,ET,1691972770
124,nadym,65.5333,72.5167,9.34,58,62,1.86,RU,1691972658
125,mpigi,0.225,32.3136,20.45,78,93,0.22,UG,1691972771
126,hjo,58.3013,14.2878,16.12,92,92,3.67,SE,1691972771
127,ristiina,61.5058,27.2464,12.06,82,36,2.25,FI,1691972772
128,guiberoua,6.2392,-6.1727,22.14,94,89,1.97,CI,1691972772
129,georgetown,5.4112,100.3354,27.19,93,40,3.13,MY,1691972772
130,lihue,21.9789,-159.3672,29.77,61,20,6.69,US,1691972772
131,mil'kovo,55.6078,37.7956,18.22,93,60,3.94,RU,1691972773
132,oltinko'l,40.8011,72.1634,21.28,27,51,1.91,UZ,1691972773
133,lumut,4.2323,100.6298,25.01,94,20,0.51,MY,1691972773
